Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = -20.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.xfa6.x4.n                            1.98
xalu.c7                            1.55008e-09
xalu.xand6.n                              1.98
xalu.xand6.xn.n                              0
xalu.and6                          1.55008e-09
xalu.xor6.xn.n                            1.98
xalu.xor6.n                               1.98
xalu.or6                           1.55008e-09
xalu.xxor6.n0                             1.98
xalu.xxor6.x0.n                              0
xalu.xxor6.n1                             1.98
xalu.xxor6.x1.n                              0
xalu.xxor6.n2                             1.98
xalu.xxor6.x2.n                              0
xalu.xor6                          3.10015e-09
xalu.xxor6.x3.n                    1.55008e-09
xalu.not6                                 1.98
xalu.xlogic6.sn                           1.98
xalu.xlogic6.n0                           1.98
xalu.xlogic6.x0.n                            0
xalu.xlogic6.n1                           1.98
xalu.xlogic6.x1.n                            0
xalu.l6                            3.10015e-09
xalu.xlogic6.x2.n                  1.55008e-09
xalu.xunary6.sn                           1.98
xalu.xunary6.n0                           1.98
xalu.xunary6.x0.n                            0
xalu.xunary6.n1                           1.98
xalu.xunary6.x1.n                      1.48404
xalu.u6                            3.10015e-09
xalu.xunary6.x2.n                  1.55008e-09
xalu.xshift6.sn                           1.98
xalu.xshift6.n0                           1.98
xalu.xshift6.x0.n                            0
xalu.xshift6.n1                           1.98
a7                                           0
xalu.xshift6.x1.n                            0
xalu.h6                            3.10015e-09
xalu.xshift6.x2.n                  1.55008e-09
xalu.xlo6.sn                              1.98
xalu.xlo6.n0                              1.98
xalu.xlo6.x0.n                               0
xalu.xlo6.n1                              1.98
xalu.xlo6.x1.n                               0
xalu.lo6                           3.10015e-09
xalu.xlo6.x2.n                     1.55008e-09
xalu.xhi6.sn                              1.98
xalu.xhi6.n0                              1.98
xalu.xhi6.x0.n                               0
xalu.xhi6.n1                              1.98
xalu.xhi6.x1.n                               0
xalu.hi6                           3.10015e-09
xalu.xhi6.x2.n                     1.55008e-09
xalu.xout6.sn                             1.98
