Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.xunary4.x1.n                            0
xalu.u4                                    1.8
xalu.xunary4.x2.n                            0
xalu.xshift4.sn                            1.8
xalu.xshift4.n0                    3.98205e-09
xalu.xshift4.x0.n                  1.99102e-09
xalu.xshift4.n1                            1.8
a5                                         1.8
xalu.xshift4.x1.n                      1.34796
xalu.h4                                    1.8
xalu.xshift4.x2.n                            0
xalu.xlo4.sn                               1.8
xalu.xlo4.n0                       3.98205e-09
xalu.xlo4.x0.n                     1.99102e-09
xalu.xlo4.n1                               1.8
xalu.xlo4.x1.n                               0
xalu.lo4                                   1.8
xalu.xlo4.x2.n                               0
xalu.xhi4.sn                               1.8
xalu.xhi4.n0                       3.98205e-09
xalu.xhi4.x0.n                     1.99102e-09
xalu.xhi4.n1                               1.8
xalu.xhi4.x1.n                         1.34796
xalu.hi4                                   1.8
xalu.xhi4.x2.n                               0
xalu.xout4.sn                              1.8
xalu.xout4.n0                      3.98205e-09
xalu.xout4.x0.n                    1.99102e-09
xalu.xout4.n1                              1.8
xalu.xout4.x1.n                        1.34796
y4                                         1.8
xalu.xout4.x2.n                              0
xalu.xbsub5.n0                             1.8
b5                                           0
xalu.xbsub5.x0.n                             0
xalu.xbsub5.n1                             1.8
xalu.xbsub5.x1.n                             0
xalu.xbsub5.n2                             1.8
xalu.xbsub5.x2.n                             0
xalu.bs5                           3.98205e-09
xalu.xbsub5.x3.n                   1.99102e-09
xalu.xfa5.x0.n0                            1.8
xalu.xfa5.x0.x0.n                      1.34796
xalu.xfa5.x0.n1                    3.98205e-09
xalu.xfa5.x0.x1.n                  1.99102e-09
xalu.xfa5.x0.n2                            1.8
xalu.xfa5.x0.x2.n                            0
xalu.xfa5.p                                1.8
xalu.xfa5.x0.x3.n                            0
xalu.xfa5.x1.n0                            1.8
xalu.xfa5.x1.x0.n                      1.34796
xalu.xfa5.x1.n1                    3.98205e-09
xalu.xfa5.x1.x1.n                  1.99102e-09
xalu.xfa5.x1.n2                            1.8
xalu.xfa5.x1.x2.n                            0
xalu.s5                                    1.8
xalu.xfa5.x1.x3.n                            0
xalu.xfa5.x2.n                             1.8
xalu.xfa5.x2.xn.n                      1.34796
xalu.xfa5.g                        1.99102e-09
xalu.xfa5.x3.n                             1.8
xalu.xfa5.x3.xn.n                      1.34796
xalu.xfa5.h                        1.99102e-09
xalu.xfa5.x4.xn.n                          1.8
xalu.xfa5.x4.n                             1.8
xalu.c6                            1.99102e-09
xalu.xand5.n                               1.8
xalu.xand5.xn.n                        1.34796
xalu.and5                          1.99102e-09
xalu.xor5.xn.n                         0.45257
xalu.xor5.n                        4.97593e-09
xalu.or5                                   1.8
xalu.xxor5.n0                              1.8
xalu.xxor5.x0.n                        1.34796
xalu.xxor5.n1                      3.98205e-09
xalu.xxor5.x1.n                    1.99102e-09
xalu.xxor5.n2                              1.8
xalu.xxor5.x2.n                              0
xalu.xor5                                  1.8
xalu.xxor5.x3.n                              0
xalu.not5                          1.99102e-09
xalu.xlogic5.sn                            1.8
xalu.xlogic5.n0                            1.8
xalu.xlogic5.x0.n                            0
xalu.xlogic5.n1                            1.8
xalu.xlogic5.x1.n                      1.34796
xalu.l5                            3.98205e-09
xalu.xlogic5.x2.n                  1.99102e-09
xalu.xunary5.sn                            1.8
xalu.xunary5.n0                    3.98205e-09
xalu.xunary5.x0.n                  1.99102e-09
xalu.xunary5.n1                            1.8
xalu.xunary5.x1.n                            0
xalu.u5                                    1.8
xalu.xunary5.x2.n                            0
xalu.xshift5.sn                            1.8
xalu.xshift5.n0                    3.98205e-09
xalu.xshift5.x0.n                  1.99102e-09
xalu.xshift5.n1                            1.8
a6                                         1.8
xalu.xshift5.x1.n                      1.34796
xalu.h5                                    1.8
xalu.xshift5.x2.n                            0
xalu.xlo5.sn                               1.8
xalu.xlo5.n0                       3.98205e-09
xalu.xlo5.x0.n                     1.99102e-09
xalu.xlo5.n1                               1.8
xalu.xlo5.x1.n                               0
xalu.lo5                                   1.8
xalu.xlo5.x2.n                               0
xalu.xhi5.sn                               1.8
xalu.xhi5.n0                       3.98205e-09
xalu.xhi5.x0.n                     1.99102e-09
xalu.xhi5.n1                               1.8
xalu.xhi5.x1.n                         1.34796
xalu.hi5                                   1.8
xalu.xhi5.x2.n                               0
